Time,r1,r2
2024-10-25 15:25:58.067782,4499.746531232985,4041.4712453765424
2024-10-25 15:25:58.571382,4541.722210748328,4033.5636456944735
2024-10-25 15:25:59.074458,4576.369200728488,4031.815024126472
2024-10-25 15:25:59.578584,4597.29570730303,4039.170625160374
2024-10-25 15:26:00.080864,4612.637764968739,4050.8458346632624
2024-10-25 15:26:00.584155,4620.80947284755,4080.7057071152753
2024-10-25 15:26:01.085571,4623.366691074771,4127.959169623803
2024-10-25 15:26:01.588521,4621.242560222302,4162.830839325836
2024-10-25 15:26:02.091196,4616.232640518704,4188.464980629979
2024-10-25 15:26:02.594813,4609.854615322031,4218.256009713174
2024-10-25 15:26:03.098091,4602.11411727155,4234.066828135659
2024-10-25 15:26:03.599689,4594.399904870982,4251.014187992465
2024-10-25 15:26:04.102579,4579.02905816013,4243.859484425753
2024-10-25 15:26:04.605792,4548.111501223535,4241.113885707491
2024-10-25 15:26:05.109852,4497.8877602748735,4226.484669833462
2024-10-25 15:26:05.612328,4472.339986106157,4216.183824311724
2024-10-25 15:26:06.115344,4450.237509622426,4202.786278890746
2024-10-25 15:26:06.617028,4441.254701689167,4191.5604288316035
2024-10-25 15:26:07.119807,4441.010620654262,4133.465387431705
2024-10-25 15:26:07.623498,4507.159710357172,4049.910190696132
2024-10-25 15:26:08.126866,4511.737794383634,4056.4916167552246
2024-10-25 15:26:08.630046,4508.057803395856,4056.966010151268
2024-10-25 15:26:09.132780,4506.525099666423,4057.036731066509
2024-10-25 15:26:09.637462,4505.697101694173,4057.068649355689
2024-10-25 15:26:10.140199,4505.0618651546165,4057.092431610372
2024-10-25 15:26:10.643538,4504.650682488125,4057.102445191291
2024-10-25 15:26:11.147466,4504.318982620179,4057.101193493676
2024-10-25 15:26:11.649944,4504.063010457934,4057.0961867032165
2024-10-25 15:26:12.152534,4503.8552286538625,4057.0792887854154
2024-10-25 15:26:12.655805,4503.67435834851,4057.081792180645
